[cfg] board=6x5 walls=15 engine=ab threads=16 tt_mb=98304 race_mb=16384 t4=0 footprint=0 dsu_walls=1 shadow=1 progress_secs=600 pid=5269
[hb] t=600s nodes=3220176896 (5366961/s) tt=736368284/2147483648 (34.3%) race_entries=0
[hb] t=1200s nodes=6516899840 (5494538/s) tt=1204181011/2147483648 (56.1%) race_entries=0
[hb] t=1800s nodes=9748611072 (5386185/s) tt=1496375006/2147483648 (69.7%) race_entries=0
[hb] t=2400s nodes=13086228480 (5562695/s) tt=1718045509/2147483648 (80.0%) race_entries=0
[hb] t=3000s nodes=16403922944 (5529490/s) tt=1867289015/2147483648 (87.0%) race_entries=0
[hb] t=3600s nodes=19719520256 (5525995/s) tt=1955190337/2147483648 (91.0%) race_entries=0
[hb] t=4200s nodes=23000514560 (5468323/s) tt=2013131056/2147483648 (93.7%) race_entries=0
[hb] t=4800s nodes=26244808704 (5407156/s) tt=2049885083/2147483648 (95.5%) race_entries=0
[hb] t=5400s nodes=29604446208 (5599395/s) tt=2074835147/2147483648 (96.6%) race_entries=0
[hb] t=6000s nodes=32910606336 (5510266/s) tt=2093321874/2147483648 (97.5%) race_entries=0
W×H=6×5 walls=15  value=Win  threads=16  nodes=36004646147  t4_fires=0  t4_cutoffs=0  fp_attempts=0  fp_extracted=0  fp_prunes=0  fp_avg_bits=0.0  dsu_skips=9805359467  dsu_falls=97934353123  tt_entries=2105276884  tt_capacity=2147483648  tt_fill=98.0%  tt_bytes=68719476736  entry_size=32  race_entries=0  race_configs=0  time=6564.601s
[shadow] legality-filter benchmark (writeup-vs-DSU); bucket = total placed walls
[shadow] bucket     candidates       dsu_skip     dsu_fall        wu_skip      wu_fall       dsu_finds   dsu_unions
[shadow]      0           3520           3520            0           3520            0           15136         2288
[shadow]      1          24605          24279          326          22903         1702          111727        18956
[shadow]      2         167110         161188         5922         141375        25735          806910       152790
[shadow]      3        1199431        1111479        87952         904016       295415         6205973      1303840
[shadow]      4        8119069        7014295      1104774        5334687      2784382        45394435     10518614
[shadow]      5       47546677       36513848     11032829       26641516     20905161       290079543     73719756
[shadow]      6      244722404      156206195     88516209      113821809    130900595      1648730920    457281854
[shadow]      7     1110784605      541777840    569006765      408752106    702032499      8393172215   2530409200
[shadow]      8     4307720806     1456477797   2851243009     1155507405   3152213401     37272881154  12174859368
[shadow]      9    12802556828     2628875853  10173680975     2194050382  10608506446    130374849876  45983589696
[shadow]     10    26643129072     2808349499  23834779573     2435998168  24207130904    330679302920 125374957852
[shadow]     11    33332987585     1599755646  31733231939     1447912119  31885075466    519347514723 209674275984
[shadow]     12    19964006861      485304843  19478702018      453774516  19510232345    381391240583 160749610000
[shadow]     13     7415338029       76891698   7338446331       73752913   7341585116    183368379127  80561182520
[shadow]     14     1632725992        6573596   1626152396        6390120   1626335872     54571921644  24836871834
[shadow]     15      213577528         307744    213269784         301367    213276161      9799101272   4579184344
[shadow]     16       14428935          10101     14418834          10101     14418834       932680613    444696904
[shadow]     17         655814             46       655768             46       655768        55715682     26874120
[shadow]     18          17653              0        17653              0        17653         2326127      1136584
[shadow]     19             66              0           66              0           66           27206        13504
