[cfg] board=6x5 walls=8 engine=ab threads=16 tt_mb=98304 race_mb=32768 t4=0 footprint=0 dsu_walls=1 shadow=1 progress_secs=600 pid=631512
[hb] t=600s nodes=3177185328 (5295308/s) tt=737069989/2147483648 (34.3%) race_entries=311731
[hb] t=1200s nodes=6399459376 (5370456/s) tt=1233734962/2147483648 (57.5%) race_entries=345069
[hb] t=1800s nodes=9604956211 (5342494/s) tt=1581183508/2147483648 (73.6%) race_entries=460466
[hb] t=2400s nodes=12832473174 (5379194/s) tt=1790483521/2147483648 (83.4%) race_entries=488328
[hb] t=3000s nodes=16012804182 (5300551/s) tt=1906546320/2147483648 (88.8%) race_entries=518355
[hb] t=3600s nodes=19201523800 (5314532/s) tt=1978612924/2147483648 (92.1%) race_entries=528624
[hb] t=4200s nodes=22310551661 (5181713/s) tt=2023962918/2147483648 (94.2%) race_entries=539348
[hb] t=4800s nodes=25478299757 (5279580/s) tt=2056484155/2147483648 (95.8%) race_entries=535565
[hb] t=5400s nodes=28751954127 (5456090/s) tt=2081265673/2147483648 (96.9%) race_entries=541113
[hb] t=6000s nodes=31935430880 (5305794/s) tt=2097860720/2147483648 (97.7%) race_entries=552876
W×H=6×5 walls=8  value=Win  threads=16  nodes=32412759639  t4_fires=0  t4_cutoffs=0  fp_attempts=0  fp_extracted=0  fp_prunes=0  fp_avg_bits=0.0  dsu_skips=11091160358  dsu_falls=84239758128  tt_entries=2099726283  tt_capacity=2147483648  tt_fill=97.8%  tt_bytes=68719476736  entry_size=32  race_entries=549850  race_configs=53779  time=6090.832s
[shadow] legality-filter benchmark (writeup-vs-DSU); bucket = total placed walls
[shadow] bucket     candidates       dsu_skip     dsu_fall        wu_skip      wu_fall       dsu_finds   dsu_unions
[shadow]      0           3240           3240            0           1782         1458           13932         2106
[shadow]      1          24963          24660          303          13465        11498          113361        19236
[shadow]      2         188343         181969         6374          95687        92656          909609       172290
[shadow]      3        1400476        1297324       103152         652453       748023         7243220      1520896
[shadow]      4        9742440        8386293      1356147        4045767      5696673        54414860     12593770
[shadow]      5       57700448       43977311     13723137       20754788     36945660       351549456     89224056
[shadow]      6      303852905      192263141    111589764       91775036    212077869      2044061163    566251224
[shadow]      7     1396783569      678552651    718230918      337743743   1059039826     10540746467   3175197880
[shadow]      8     5419757677     1839790718   3579966959      965610581   4454147096     46853457015  15297091992
[shadow]      9    15471894898     3239547232  12232347666     1785262054  13686632844    157267267206  55425791256
[shadow]     10    27924804799     3151086760  24773718039     1809067986  26115736813    341594010485 128909798044
[shadow]     11    26759938576     1530655769  25229282807      903001987  25856936589    402411297648 161065740960
[shadow]     12    13715184062      361295431  13353888631      216146614  13499037448    259182809086 109018628450
[shadow]     13     3726408818       41714832   3684693986       24807706   3701601112     91516528590  40168651068
[shadow]     14      511996463        2325281    509671182        1355867    510640596     16930040037   7697025324
[shadow]     15       31236809          57746     31179063          32996     31203813      1424595339    665442456
